Cond	Weight	HotIn	HotOut	ColdIn	ColdOut	Month	Day	Hour	Minute	Second
380.06	2147.0	71.24	66.43	31.14	37.17	5	20	13	58	3
375.37	2149.5	71.10	66.36	30.80	36.76	5	20	13	59	3
380.06	2151.5	71.17	66.36	30.84	36.86	5	20	14	0	3
384.75	2153.0	71.13	66.39	30.74	36.79	5	20	14	1	3
375.37	2154.0	71.13	66.36	30.74	36.76	5	20	14	2	3
384.75	2155.5	71.27	66.43	30.74	36.79	5	20	14	3	3
384.75	2156.5	71.13	66.46	30.57	36.69	5	20	14	4	3
375.37	2157.5	71.31	66.46	30.50	36.62	5	20	14	5	3
380.06	2158.5	71.10	66.36	30.60	36.62	5	20	14	6	4
375.37	-54.5	71.31	66.50	30.70	36.76	5	20	14	7	4
375.37	-29.0	71.13	66.43	30.74	36.76	5	20	14	8	0
384.75	-447.0	71.24	66.39	30.63	36.72	5	20	14	9	0
384.75	-474.5	71.13	66.39	30.70	36.72	5	20	14	10	1
375.37	-474.0	71.17	66.33	30.60	36.69	5	20	14	11	1
384.75	-71.5	71.17	66.36	30.57	36.59	5	20	14	12	2
384.75	-71.5	71.37	66.53	30.57	36.62	5	20	14	13	2
375.37	311.5	52.42	49.30	36.42	36.66	5	20	14	14	3
380.06	324.5	52.32	49.20	36.38	36.69	5	20	14	15	3
375.37	324.5	52.18	49.06	36.31	36.69	5	20	14	16	4
